@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
62,230,0,288,112,0.72,1,0.444015,1,0.555985,0.614973,0.822222,1.216216,0.00012
63,230,0,287,113,0.7175,1,0.444874,1,0.555126,0.615797,0.820635,1.218569,0.00012
64,230,0,286,114,0.715,1,0.445736,1,0.554264,0.616622,0.819048,1.22093,0.00012
65,230,0,285,115,0.7125,1,0.446602,1,0.553398,0.61745,0.81746,1.223301,0.000131
66,230,0,284,116,0.71,1,0.447471,1,0.552529,0.61828,0.815873,1.225681,0.000131
67,230,0,283,117,0.7075,1,0.448343,1,0.551657,0.619112,0.814286,1.22807,0.000131
68,230,0,282,118,0.705,1,0.449219,1,0.550781,0.619946,0.812698,1.230469,0.000131
69,230,0,281,119,0.7025,1,0.450098,1,0.549902,0.620783,0.811111,1.232877,0.000132
70,230,0,280,120,0.7,1,0.45098,1,0.54902,0.621622,0.809524,1.235294,0.000145
71,230,0,279,121,0.6975,1,0.451866,1,0.548134,0.622463,0.807937,1.237721,0.000145
72,230,0,278,122,0.695,1,0.452756,1,0.547244,0.623306,0.806349,1.240157,0.000145
73,230,0,277,123,0.6925,1,0.453649,1,0.546351,0.624152,0.804762,1.242604,0.000145
74,230,0,276,124,0.69,1,0.454545,1,0.545455,0.625,0.803175,1.245059,0.000145
75,230,0,275,125,0.6875,1,0.455446,1,0.544554,0.62585,0.801587,1.247525,0.000145
76,230,0,274,126,0.685,1,0.456349,1,0.543651,0.626703,0.8,1.25,0.000145
77,230,0,273,127,0.6825,1,0.457256,1,0.542744,0.627558,0.798413,1.252485,0.000145
78,230,0,272,128,0.68,1,0.458167,1,0.541833,0.628415,0.796825,1.25498,0.000145
79,230,0,271,129,0.6775,1,0.459082,1,0.540918,0.629275,0.795238,1.257485,0.000161
80,230,0,270,130,0.675,1,0.46,1,0.54,0.630137,0.793651,1.26,0.000161
81,230,0,268,132,0.67,1,0.461847,1,0.538153,0.631868,0.790476,1.26506,0.000161
82,230,0,266,134,0.665,1,0.46371,1,0.53629,0.633609,0.787302,1.270161,0.000161
83,230,0,264,136,0.66,1,0.465587,1,0.534413,0.635359,0.784127,1.275304,0.000161
84,230,0,263,137,0.6575,1,0.466531,1,0.533469,0.636238,0.78254,1.27789,0.000161
85,230,0,262,138,0.655,1,0.46748,1,0.53252,0.637119,0.780952,1.280488,0.000161
86,230,0,261,139,0.6525,1,0.468432,1,0.531568,0.638003,0.779365,1.283096,0.000161
87,230,0,260,140,0.65,1,0.469388,1,0.530612,0.638889,0.777778,1.285714,0.000161
88,230,0,259,141,0.6475,1,0.470348,1,0.529652,0.639777,0.77619,1.288344,0.000161
89,230,0,258,142,0.645,1,0.471311,1,0.528689,0.640669,0.774603,1.290984,0.000161
90,230,0,256,144,0.64,1,0.473251,1,0.526749,0.642458,0.771429,1.296296,0.000161
91,230,0,255,145,0.6375,1,0.474227,1,0.525773,0.643357,0.769841,1.298969,0.000161
92,230,0,254,146,0.635,1,0.475207,1,0.524793,0.644258,0.768254,1.301653,0.000161
93,230,0,253,147,0.6325,1,0.47619,1,0.52381,0.645161,0.766667,1.304348,0.000161
94,230,0,252,148,0.63,1,0.477178,1,0.522822,0.646067,0.765079,1.307054,0.000161
95,230,0,251,149,0.6275,1,0.47817,1,0.52183,0.646976,0.763492,1.309771,0.000181
96,230,0,250,150,0.625,1,0.479167,1,0.520833,0.647887,0.761905,1.3125,0.000181
97,230,0,249,151,0.6225,1,0.480167,1,0.519833,0.648801,0.760317,1.31524,0.000181
98,230,0,247,153,0.6175,1,0.48218,1,0.51782,0.650636,0.757143,1.320755,0.000181
99,230,0,246,154,0.615,1,0.483193,1,0.516807,0.651558,0.755556,1.323529,0.000181
100,230,0,245,155,0.6125,1,0.484211,1,0.515789,0.652482,0.753968,1.326316,0.000181
101,230,0,244,156,0.61,1,0.485232,1,0.514768,0.653409,0.752381,1.329114,0.000181
102,230,0,243,157,0.6075,1,0.486258,1,0.513742,0.654339,0.750794,1.331924,0.000181
103,230,0,242,158,0.605,1,0.487288,1,0.512712,0.655271,0.749206,1.334746,0.000181
104,230,0,241,159,0.6025,1,0.488323,1,0.511677,0.656205,0.747619,1.33758,0.000181
105,230,0,240,160,0.6,1,0.489362,1,0.510638,0.657143,0.746032,1.340426,0.000181
106,230,0,238,162,0.595,1,0.491453,1,0.508547,0.659026,0.742857,1.346154,0.000181
107,230,0,236,164,0.59,1,0.493562,1,0.506438,0.66092,0.739683,1.351931,0.000181
108,230,0,235,165,0.5875,1,0.494624,1,0.505376,0.661871,0.738095,1.354839,0.000181
109,230,0,234,166,0.585,1,0.49569,1,0.50431,0.662824,0.736508,1.357759,0.000181
110,230,0,233,167,0.5825,1,0.49676,1,0.50324,0.663781,0.734921,1.360691,0.000181
111,230,0,232,168,0.58,1,0.497835,1,0.502165,0.66474,0.733333,1.363636,0.000181
112,230,0,231,169,0.5775,1,0.498915,1,0.501085,0.665702,0.731746,1.366594,0.000206
113,230,0,228,172,0.57,1,0.502183,1,0.497817,0.668605,0.726984,1.375546,0.000206
114,230,0,226,174,0.565,1,0.504386,1,0.495614,0.670554,0.72381,1.381579,0.000206
115,230,0,223,177,0.5575,1,0.507726,1,0.492274,0.673499,0.719048,1.390728,0.000206
116,230,0,222,178,0.555,1,0.50885,1,0.49115,0.674487,0.71746,1.393805,0.000206
117,230,0,220,180,0.55,1,0.511111,1,0.488889,0.676471,0.714286,1.4,0.000206
118,230,0,219,181,0.5475,1,0.512249,1,0.487751,0.677467,0.712698,1.403118,0.000206
119,230,0,217,183,0.5425,1,0.514541,1,0.485459,0.679468,0.709524,1.409396,0.000206
120,230,0,215,185,0.5375,1,0.516854,1,0.483146,0.681481,0.706349,1.41573,0.000206
121,230,0,213,187,0.5325,1,0.519187,1,0.480813,0.683507,0.703175,1.422122,0.000206
122,230,0,210,190,0.525,1,0.522727,1,0.477273,0.686567,0.698413,1.431818,0.000206
123,230,0,208,192,0.52,1,0.525114,1,0.474886,0.688623,0.695238,1.438356,0.000241
124,230,0,207,193,0.5175,1,0.526316,1,0.473684,0.689655,0.693651,1.441648,0.000241
125,230,0,206,194,0.515,1,0.527523,1,0.472477,0.690691,0.692063,1.444954,0.000241
126,230,0,199,201,0.4975,1,0.536131,1,0.463869,0.698027,0.680952,1.468531,0.000241
127,230,0,196,204,0.49,1,0.539906,1,0.460094,0.70122,0.67619,1.478873,0.000241
128,230,0,195,205,0.4875,1,0.541176,1,0.458824,0.70229,0.674603,1.482353,0.000241
129,230,0,194,206,0.485,1,0.542453,1,0.457547,0.703364,0.673016,1.485849,0.000241
130,230,0,190,210,0.475,1,0.547619,1,0.452381,0.707692,0.666667,1.5,0.000241
131,230,0,188,212,0.47,1,0.550239,1,0.449761,0.709877,0.663492,1.507177,0.000241
132,230,0,185,215,0.4625,1,0.554217,1,0.445783,0.713178,0.65873,1.518072,0.000289
133,230,0,184,216,0.46,1,0.555556,1,0.444444,0.714286,0.657143,1.521739,0.000289
134,230,0,182,218,0.455,1,0.558252,1,0.441748,0.716511,0.653968,1.529126,0.000289
135,230,0,181,219,0.4525,1,0.559611,1,0.440389,0.717629,0.652381,1.532847,0.000289
136,230,0,179,221,0.4475,1,0.562347,1,0.437653,0.719875,0.649206,1.540342,0.000289
137,230,0,178,222,0.445,1,0.563725,1,0.436275,0.721003,0.647619,1.544118,0.000289
138,230,0,177,223,0.4425,1,0.565111,1,0.434889,0.722135,0.646032,1.547912,0.000289
139,230,0,176,224,0.44,1,0.566502,1,0.433498,0.72327,0.644444,1.551724,0.000289
140,230,0,174,226,0.435,1,0.569307,1,0.430693,0.725552,0.64127,1.559406,0.000289
141,230,0,173,227,0.4325,1,0.57072,1,0.42928,0.726698,0.639683,1.563275,0.000289
142,230,0,172,228,0.43,1,0.572139,1,0.427861,0.727848,0.638095,1.567164,0.000289
143,230,0,171,229,0.4275,1,0.573566,1,0.426434,0.729002,0.636508,1.571072,0.000361
144,230,0,169,231,0.4225,1,0.576441,1,0.423559,0.73132,0.633333,1.578947,0.000361
145,230,0,167,233,0.4175,1,0.579345,1,0.420655,0.733652,0.630159,1.586902,0.000361
146,230,0,166,234,0.415,1,0.580808,1,0.419192,0.734824,0.628571,1.590909,0.000361
147,230,0,165,235,0.4125,1,0.582278,1,0.417722,0.736,0.626984,1.594937,0.000481
148,230,0,164,236,0.41,1,0.583756,1,0.416244,0.737179,0.625397,1.598985,0.000481
149,230,0,163,237,0.4075,1,0.585242,1,0.414758,0.738363,0.62381,1.603053,0.000481
150,230,0,162,238,0.405,1,0.586735,1,0.413265,0.73955,0.622222,1.607143,0.000481
151,230,0,161,239,0.4025,1,0.588235,1,0.411765,0.740741,0.620635,1.611253,0.000481
152,230,0,160,240,0.4,1,0.589744,1,0.410256,0.741935,0.619048,1.615385,0.000481
153,230,0,157,243,0.3925,1,0.594315,1,0.405685,0.745543,0.614286,1.627907,0.000481
154,230,0,156,244,0.39,1,0.595855,1,0.404145,0.746753,0.612698,1.632124,0.000481
155,230,0,155,245,0.3875,1,0.597403,1,0.402597,0.747967,0.611111,1.636364,0.000481
156,230,0,154,246,0.385,1,0.598958,1,0.401042,0.749186,0.609524,1.640625,0.000481
157,230,0,153,247,0.3825,1,0.600522,1,0.399478,0.750408,0.607937,1.644909,0.00072
158,230,0,152,248,0.38,1,0.602094,1,0.397906,0.751634,0.606349,1.649215,0.00072
159,230,0,151,249,0.3775,1,0.603675,1,0.396325,0.752864,0.604762,1.653543,0.00072
160,230,0,150,250,0.375,1,0.605263,1,0.394737,0.754098,0.603175,1.657895,0.00072
161,230,0,149,251,0.3725,1,0.60686,1,0.39314,0.755337,0.601587,1.662269,0.00072
162,230,0,148,252,0.37,1,0.608466,1,0.391534,0.756579,0.6,1.666667,0.00072
163,230,0,147,253,0.3675,1,0.61008,1,0.38992,0.757825,0.598413,1.671088,0.00072
164,230,0,146,254,0.365,1,0.611702,1,0.388298,0.759076,0.596825,1.675532,0.00072
165,230,0,145,255,0.3625,1,0.613333,1,0.386667,0.760331,0.595238,1.68,0.00072
166,230,0,144,256,0.36,1,0.614973,1,0.385027,0.761589,0.593651,1.684492,0.00072
167,230,0,143,257,0.3575,1,0.616622,1,0.383378,0.762852,0.592063,1.689008,0.00072
168,230,0,142,258,0.355,1,0.61828,1,0.38172,0.76412,0.590476,1.693548,0.00072
169,230,0,141,259,0.3525,1,0.619946,1,0.380054,0.765391,0.588889,1.698113,0.00072
170,230,0,140,260,0.35,1,0.621622,1,0.378378,0.766667,0.587302,1.702703,0.00072
171,230,0,139,261,0.3475,1,0.623306,1,0.376694,0.767947,0.585714,1.707317,0.00072
172,230,0,138,262,0.345,1,0.625,1,0.375,0.769231,0.584127,1.711957,0.00072
173,230,0,137,263,0.3425,1,0.626703,1,0.373297,0.770519,0.58254,1.716621,0.00072
174,230,0,136,264,0.34,1,0.628415,1,0.371585,0.771812,0.580952,1.721311,0.00072
175,230,0,135,265,0.3375,1,0.630137,1,0.369863,0.773109,0.579365,1.726027,0.00072
176,230,0,134,266,0.335,1,0.631868,1,0.368132,0.774411,0.577778,1.730769,0.00072
177,230,0,133,267,0.3325,1,0.633609,1,0.366391,0.775717,0.57619,1.735537,0.00072
178,230,0,132,268,0.33,1,0.635359,1,0.364641,0.777027,0.574603,1.740331,0.00072
179,230,0,131,269,0.3275,1,0.637119,1,0.362881,0.778342,0.573016,1.745152,0.00072
180,230,0,130,270,0.325,1,0.638889,1,0.361111,0.779661,0.571429,1.75,0.00072
181,230,0,129,271,0.3225,1,0.640669,1,0.359331,0.780985,0.569841,1.754875,0.000721
182,230,0,128,272,0.32,1,0.642458,1,0.357542,0.782313,0.568254,1.759777,0.000721
183,230,0,127,273,0.3175,1,0.644258,1,0.355742,0.783646,0.566667,1.764706,0.000721
184,230,0,126,274,0.315,1,0.646067,1,0.353933,0.784983,0.565079,1.769663,0.000721
185,230,0,125,275,0.3125,1,0.647887,1,0.352113,0.786325,0.563492,1.774648,0.000721
186,230,0,124,276,0.31,1,0.649718,1,0.350282,0.787671,0.561905,1.779661,0.000721
187,230,0,123,277,0.3075,1,0.651558,1,0.348442,0.789022,0.560317,1.784703,0.000721
188,230,0,122,278,0.305,1,0.653409,1,0.346591,0.790378,0.55873,1.789773,0.000729
189,230,0,121,279,0.3025,1,0.655271,1,0.344729,0.791738,0.557143,1.794872,0.000757
190,230,0,120,280,0.3,1,0.657143,1,0.342857,0.793103,0.555556,1.8,0.003395
191,230,0,119,281,0.2975,1,0.659026,1,0.340974,0.794473,0.553968,1.805158,0.003402
192,230,0,118,282,0.295,1,0.66092,1,0.33908,0.795848,0.552381,1.810345,0.003437
193,230,0,117,283,0.2925,1,0.662824,1,0.337176,0.797227,0.550794,1.815562,0.003439
194,230,0,116,284,0.29,1,0.66474,1,0.33526,0.798611,0.549206,1.820809,0.003465
195,230,0,115,285,0.2875,1,0.666667,1,0.333333,0.8,0.547619,1.826087,0.003478
196,230,0,114,286,0.285,1,0.668605,1,0.331395,0.801394,0.546032,1.831395,0.003478
197,230,0,113,287,0.2825,1,0.670554,1,0.329446,0.802792,0.544444,1.836735,0.00349
198,230,0,112,288,0.28,1,0.672515,1,0.327485,0.804196,0.542857,1.842105,0.00354
199,230,0,111,289,0.2775,1,0.674487,1,0.325513,0.805604,0.54127,1.847507,0.003574
