@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,10,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.041368,0.113278,8.920852,23.528314,59.64963,4.568433,55.081198,0.94682,0.072515,0.874305,55.081198,0.874305,92.341222,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,1,1,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,1,1,0.982716,0.984127,0.029,0.002,0.03125,0,31.25,0,326340,63409,8473,100,57.936508,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,1,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,58,5,0,92.063492,7.936508,0,0.833421,0.09302,0.284162,20.059397,59.021797,59.64963,37.329942,22.319688,0.94682,0.592539,0.354281,47.57415,0.755145,79.755984,0.956522,22,0.1,4,0.9,36,0.043478,1,0.846154,0.956522,0.897959,0.837616,0.96087,0.909882,0.920635,0.064113,0.935887,0.079365,0.926674,0.920635,0.921518,0.837616,0.96087,0.955248,0.916512,0.920635,0.026,0.002,0.015625,0,15.625,0,274365,63409,8473,93.650794,53.968254,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,2,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,60,3,0,95.238095,4.761905,0,0.898223,0.051546,0.170506,11.115832,35.414877,59.64963,9.059106,50.590524,0.94682,0.143795,0.803024,53.267094,0.845509,89.299956,0.956522,22,0.05,2,0.95,38,0.043478,1,0.916667,0.956522,0.93617,0.89874,0.993478,0.988411,0.952381,0.045859,0.954141,0.047619,0.953297,0.952381,0.952586,0.89874,0.993478,0.993609,0.949098,0.952381,0.027,0.003,0.015625,0.015625,15.625,15.625,325680,63409,8473,98.412698,54.761905,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,3,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.029246,0.123364,6.306909,25.623319,59.64963,4.774081,54.875549,0.94682,0.075779,0.87104,56.201846,0.892093,94.21994,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.996739,0.994322,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.996739,0.99682,0.983033,0.984127,0.028,0.003,0.03125,0,31.25,0,336638,63409,8473,100,53.968254,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,4,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.04175,0.1392,9.003272,28.912599,59.64963,5.553981,54.09565,0.94682,0.088158,0.858661,54.510054,0.865239,91.383724,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.998913,0.998188,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.998913,0.998951,0.965761,0.968254,0.027,0.002,0.03125,0,31.25,0,319132,63409,8473,100,57.936508,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,5,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,63,0,0,100,0,0,1,0.022891,0.08062,4.936427,16.745147,59.64963,2.494528,57.155102,0.94682,0.039596,0.907224,57.155102,0.907224,95.818032,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.027,0.003,0.03125,0,31.25,0,339248,63409,8473,100,53.968254,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,6,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,63,0,0,100,0,0,1,0.03046,0.073862,6.568503,15.341399,59.64963,3.057961,56.59167,0.94682,0.048539,0.89828,56.59167,0.89828,94.873463,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.027,0.003,0.03125,0,31.25,0,340380,63409,8473,100,57.936508,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,7,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.036513,0.123401,7.873962,25.631054,59.64963,4.754013,54.895618,0.94682,0.075461,0.871359,55.346601,0.878517,92.786158,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.998913,0.998188,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.998913,0.998951,0.983033,0.984127,0.028,0.002,0.015625,0.015625,15.625,15.625,337047,63409,8473,100,56.349206,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,8,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,63,0,0,100,0,0,1,0.019136,0.072602,4.126539,15.079749,59.64963,2.065516,57.584114,0.94682,0.032786,0.914034,57.584114,0.914034,96.537252,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.028,0.003,0.03125,0,31.25,0,340244,63409,8473,100,54.761905,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,9,weka.classifiers.meta.Vote,'-S 1 -B \"weka.classifiers.lazy.IBk -K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\" -B \"weka.classifiers.bayes.NaiveBayes -D\" -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -R AVG',-637891196294399624,20220117.223,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.044165,0.150238,9.524024,31.205136,59.64963,8.140324,51.509306,0.94682,0.129211,0.817608,54.490127,0.864923,91.350318,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.992391,0.985374,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.992391,0.992296,0.965761,0.968254,0.031,0.002,0.03125,0,31.25,0,333794,63409,8473,98.412698,56.349206,?
