@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,63,0,0,100,0,0,1,0.000414,0.003132,0.089239,0.650451,59.64963,0.038065,59.611565,0.94682,0.000604,0.946215,59.611565,0.946215,99.936186,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3688,63409,8473,100,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,57,6,0,90.47619,9.52381,0,0.798292,0.098094,0.302049,21.153664,62.737026,59.64963,542.164377,-482.514746,0.94682,8.605784,-7.658964,46.62855,0.740136,78.170727,0.913043,21,0.1,4,0.9,36,0.086957,2,0.84,0.913043,0.875,0.800103,0.94837,0.856815,0.904762,0.091718,0.908282,0.095238,0.90817,0.904762,0.905525,0.800103,0.967348,0.939993,0.899038,0.904762,0,0,0,0,0,0,3688,63409,8473,92.063492,51.587302,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,60,3,0,95.238095,4.761905,0,0.900053,0.060056,0.22683,12.950951,47.113703,59.64963,562.137812,-502.488181,0.94682,8.922822,-7.976003,51.961629,0.824788,87.111402,1,23,0.075,3,0.925,37,0,0,0.884615,1,0.938776,0.904582,0.968478,0.90528,0.952381,0.027381,0.972619,0.047619,0.957875,0.952381,0.952911,0.904582,0.97538,0.958927,0.949907,0.952381,0.001,0,0.015625,0,15.625,0,3688,63409,8473,95.238095,52.380952,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.034326,0.179297,7.402202,37.240821,59.64963,430.785176,-371.135546,0.94682,6.83786,-5.89104,55.178192,0.875844,92.503829,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.972826,0.913503,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.972136,0.96056,0.966346,0.968254,0,0.001,0,0,0,0,3688,63409,8473,96.825397,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,60,3,0,95.238095,4.761905,0,0.898223,0.047607,0.218154,10.266232,45.3117,59.64963,66.597875,-6.948244,0.94682,1.057109,-0.11029,53.325933,0.846443,89.398597,0.956522,22,0.05,2,0.95,38,0.043478,1,0.916667,0.956522,0.93617,0.89874,0.996739,0.994631,0.952381,0.045859,0.954141,0.047619,0.953297,0.952381,0.952586,0.89874,0.996739,0.996887,0.949098,0.952381,0,0,0,0,0,0,3688,63409,8473,95.238095,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,63,0,0,100,0,0,1,0.000001,0.000005,0.000146,0.001062,59.64963,0.000061,59.649569,0.94682,0.000001,0.946819,59.649569,0.946819,99.999897,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3688,63409,8473,100,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.01685,0.126222,3.633648,26.217001,59.64963,15.121921,44.527709,0.94682,0.24003,0.706789,57.449714,0.9119,96.311935,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,1,1,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,1,1,0.983033,0.984127,0,0,0,0,0,0,3688,63409,8473,98.412698,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,59,4,0,93.650794,6.349206,0,0.867925,0.057076,0.230767,12.308244,47.931326,59.64963,301.891023,-242.241392,0.94682,4.791921,-3.845101,51.963676,0.82482,87.114833,1,23,0.1,4,0.9,36,0,0,0.851852,1,0.92,0.875595,0.985326,0.953129,0.936508,0.036508,0.963492,0.063492,0.945914,0.936508,0.937377,0.875595,0.989122,0.980128,0.933684,0.936508,0.001,0,0,0,0,0,3688,63409,8473,95.238095,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.015477,0.122797,3.337486,25.505586,59.64963,5.303716,54.345915,0.94682,0.084186,0.862634,57.577855,0.913934,96.526759,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,1,1,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,1,1,0.982716,0.984127,0.001,0,0,0,0,0,3688,63409,8473,98.412698,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.016311,0.126006,3.51744,26.171974,59.64963,17.326946,42.322684,0.94682,0.275031,0.671789,57.501327,0.912719,96.398463,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.998913,0.998188,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.998913,0.998951,0.983033,0.984127,0.001,0,0,0,0,0,3688,63409,8473,98.412698,50,?
